Author,Title,Poetry Foundation ID,Content,Length,Topics
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 27,45336,"I envy not in any moods
The captive void of noble rage,
The linnet born within the cage,
That never knew the summer woods:

I envy not the beast that takes
His license in the field of time,
Unfettered by the sense of crime,
To whom a conscience never wakes;

Nor, what may count itself as blest,
The heart that never plighted troth
But stagnates in the weeds of sloth;
Nor any want-begotten rest.

I hold it true, whatever befall;
I feel it, when I sorrow most;
It is better to have loved and lost
Than never to have loved at all",102,"want-begotten rest, linnet born, captive void, true, rage, crime, woods, weeds, troth, time"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 3,45330,"O Sorrow, cruel fellowship,
O Priestess in the vaults of Death,
O sweet and bitter in a breath,
What whispers from thy lying lip?

""The stars,"" she whispers, ""blindly run;
A web is wov'n across the sky;
From out waste places comes a cry,
And murmurs from the dying sun:

""And all the phantom, Nature, stands-
With all the music in her tone,
A hollow echo of my own,-
A hollow form with empty hands.""

And shall I take a thing so blind,
Embrace her as my natural good;
Or crush her, like a vice of blood,
Upon the threshold of the mind",109,"cruel fellowship, waste places, empty hands, hollow form, sorrow, natural, lying, embrace, death, blind, whispers, vice, vaults, tone, threshold"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 30,45337,"With trembling fingers did we weave
The holly round the Christmas hearth;
A rainy cloud possessed the earth,
And sadly fell our Christmas-eve.

At our old pastimes in the hall
We gamboled, making vain pretence
Of gladness, with an awful sense
Of one mute Shadow watching all.

We paused: the winds were in the beech:
We heard them sweep the winter land;
And in a circle hand-in-hand
Sat silent, looking each at each.

Then echo-like our voices rang;
We sung, tho' every eye was dim,
A merry song we sang with him
Last year: impetuously we sang:

We ceased: a gentler feeling crept
Upon us: surely rest is meet:
""They rest,"" we said, ""their sleep is sweet,""
And silence followed, and we wept.

Our voices took a higher range;
Once more we sang: ""They do not die
Nor lose their mortal sympathy,
Nor change to us, although they change;

""Rapt from the fickle and the frail
With gathered power, yet the same,
Pierces the keen seraphic flame
From orb to orb, from veil to veil.""

Rise, happy morn, rise, holy morn,
Draw forth the cheerful day from night:
O Father, touch the east, and light
The light that shone when Hope was born",210,"gentler feeling, happy morn, cheerful day, awful sense, vain pretence, mortal sympathy, feeling crept, rainy cloud, seraphic flame"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 99,45350,"Risest thou thus, dim dawn, again,
So loud with voices of the birds,
So thick with lowings of the herds,
Day, when I lost the flower of men;

Who tremblest thro' thy darkling red
On yon swoll'n brook that bubbles fast
By meadows breathing of the past,
And woodlands holy to the dead;

Who murmurest in the foliaged eaves
A song that slights the coming care,
And Autumn laying here and there
A fiery finger on the leaves;

Who wakenest with thy balmy breath
To myriads on the genial earth,
Memories of bridal, or of birth,
And unto myriads more, of death.

O wheresoever those may be,
Betwixt the slumber of the poles,
To-day they count as kindred souls;
They know me not, but mourn with me",128,"genial earth, fiery finger, kindred souls, foliaged eaves, mourn, death, dead, care, voices, to-day, thick"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 39,45338,"Old warder of these buried bones,
And answering now my random stroke
With fruitful cloud and living smoke,
Dark yew, that graspest at the stones

And dippest toward the dreamless head,
To thee too comes the golden hour
When flower is feeling after flower;
But Sorrow-fixt upon the dead,

And darkening the dark graves of men,-
What whispered from her lying lips?
Thy gloom is kindled at the tips,
And passes into gloom again",74,"dark graves, fruitful cloud, dreamless head, dark yew, lying, gloom, feeling, dead, warder"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 44,45339,"How fares it with the happy dead?
For here the man is more and more;
But he forgets the days before
God shut the doorways of his head.

The days have vanished, tone and tint,
And yet perhaps the hoarding sense
Gives out at times (he knows not whence)
A little flash, a mystic hint;

And in the long harmonious years
(If Death so taste Lethean springs),
May some dim touch of earthly things
Surprise thee ranging with thy peers.

If such a dreamy touch should fall,
O turn thee round, resolve the doubt;
My guardian angel will speak out
In that high place, and tell thee all",108,"harmonious years, mystic hint, lethean springs, hoarding sense, high place, earthly things, dreamy touch, surprise"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 45,45340,"The baby new to earth and sky,
What time his tender palm is prest
Against the circle of the breast,
Has never thought that ""this is I"":

But as he grows he gathers much,
And learns the use of ""I,"" and ""me,""
And finds ""I am not what I see,
And other than the things I touch.""

So rounds he to a separate mind
From whence clear memory may begin,
As thro' the frame that binds him in
His isolation grows defined.

This use may lie in blood and breath
Which else were fruitless of their due,
Had man to learn himself anew
Beyond the second birth of Death",117,"isolation grows, clear memory, tender palm, separate mind, death, touch, time, things, prest, fruitless, frame"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 5,45331,"I sometimes hold it half a sin
To put in words the grief I feel;
For words, like Nature, half reveal
And half conceal the Soul within.

But, for the unquiet heart and brain,
A use in measured language lies;
The sad mechanic exercise,
Like dull narcotics, numbing pain.

In words, like weeds, I'll wrap me over,
Like coarsest clothes against the cold;
But that large grief which these enfold
Is given in outline and no more",78,"large grief, dull narcotics, unquiet heart, mechanic exercise, measured language, coarsest clothes, pain, numbing, weeds, soul, reveal, outline, nature, half, enfold"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 2,45329,"Old Yew, which graspest at the stones
That name the under-lying dead,
Thy fibres net the dreamless head,
Thy roots are wrapt about the bones.

The seasons bring the flower again,
And bring the firstling to the flock;
And in the dusk of thee, the clock
Beats out the little lives of men.

O not for thee the glow, the bloom,
Who changest not in any gale,
Nor branding summer suns avail
To touch thy thousand years of gloom:

And gazing on thee, sullen tree,
Sick for thy stubborn hardihood,
I seem to fail from out my blood
And grow incorporate into thee",103,"stubborn hardihood, dreamless head, sick, gloom, dead, years, wrapt, under-lying, tree"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 54,45341,"Oh, yet we trust that somehow good
Will be the final end of ill,
To pangs of nature, sins of will,
Defects of doubt, and taints of blood;

That nothing walks with aimless feet;
That not one life shall be destroyed,
Or cast as rubbish to the void,
When God hath made the pile complete;

That not a worm is cloven in vain;
That not a moth with vain desire
Is shrivelled in a fruitless fire,
Or but subserves another's gain.

Behold, we know not anything;
I can but trust that good shall fall
At last-far off-at last, to all,
And every winter change to spring.

So runs my dream: but what am I?
An infant crying in the night:
An infant crying for the light:
And with no language but a cry",134,"infant crying, fruitless fire, final end, aimless feet, vain, sins, gain, dream, doubt, defects, worm"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 55,45342,"The wish, that of the living whole
No life may fail beyond the grave,
Derives it not from what we have
The likest God within the soul?

Are God and Nature then at strife,
That Nature lends such evil dreams?
So careful of the type she seems,
So careless of the single life;

That I, considering everywhere
Her secret meaning in her deeds,
And finding that of fifty seeds
She often brings but one to bear,

I falter where I firmly trod,
And falling with my weight of cares
Upon the great world's altar-stairs
That slope thro' darkness up to God,

I stretch lame hands of faith, and grope,
And gather dust and chaff, and call
To what I feel is Lord of all,
And faintly trust the larger hope",131,"lame hands, likest god, evil dreams, single life, secret meaning, nature lends, grave, falling"
"Alfred, Lord Tennyson","from
  
  Maud: O that 'twere possible",50292,"O that 'twere possible
After long grief and pain
To find the arms of my true love
Round me once again!...

A shadow flits before me,
Not thou, but like to thee:
Ah, Christ! that it were possible
For one short hour to see
The souls we loved, that they might tell us
What and where they be",59,"short hour, shadow flits, true, pain, grief, souls, christ, arms"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 67,45343,"When on my bed the moonlight falls,
I know that in thy place of rest
By that broad water of the west,
There comes a glory on the walls:

Thy marble bright in dark appears,
As slowly steals a silver flame
Along the letters of thy name,
And over the number of thy years.

The mystic glory swims away;
From off my bed the moonlight dies;
And closing eaves of wearied eyes
I sleep till dusk is dipt in gray:

And then I know the mist is drawn
A lucid veil from coast to coast,
And in the dark church like a ghost
Thy tablet glimmers to the dawn",109,"marble bright, wearied eyes, tablet glimmers, silver flame, lucid veil, dark church, broad water, number, ghost, years, west, walls"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 96,45349,"You say, but with no touch of scorn,
Sweet-hearted, you, whose light-blue eyes
Are tender over drowning flies,
You tell me, doubt is Devil-born.

I know not: one indeed I knew
In many a subtle question versed,
Who touched a jarring lyre at first,
But ever strove to make it true:

Perplext in faith, but pure in deeds,
At last he beat his music out.
There lives more faith in honest doubt,
Believe me, than in half the creeds.

He fought his doubts and gathered strength,
He would not make his judgment blind,
He faced the spectres of the mind
And laid them: thus he came at length

To find a stronger faith his own;
And Power was with him in the night,
Which makes the darkness and the light,
And dwells not in the light alone,

But in the darkness and the cloud,
As over Sinaï's peaks of old,
While Israel made their gods of gold,
Altho' the trumpet blew so loud",164,"gathered strength, judgment blind, honest doubt, subtle question, light-blue eyes, jarring lyre, true, stronger, scorn, doubts, darkness, trumpet, touch, tender"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 7,45332,"Dark house, by which once more I stand
Here in the long unlovely street,
Doors, where my heart was used to beat
So quickly, waiting for a hand,

A hand that can be clasped no more-
Behold me, for I cannot sleep,
And like a guilty thing I creep
At earliest morning to the door.

He is not here; but far away
The noise of life begins again,
And ghastly thro' the drizzling rain
On the bald street breaks the blank day",83,"unlovely street, street breaks, life begins, earliest morning, blank day, bald street, hand, guilty, waiting, rain, quickly, noise, more, house, heart"
"Alfred, Lord Tennyson","from
  
  Merlin and Vivien",50303,"In Love, if Love be Love, if Love be ours,
Faith and unfaith can never be equal powers:
Unfaith in aught is want of faith in all.

It is the little rift within the lute,
That by and by will make the music mute,
And ever widening slowly silence all.

The little rift within the lover's lute,
Or little pitted speck in garnered fruit,
That rotting inward slowly moulders all.

It is not worth the keeping: let it go:
But shall it? answer, darling, answer, no.
And trust me not at all or all in all",97,"slowly moulders, pitted speck, music mute, garnered fruit, equal powers, worth, lover, darling"
"Alfred, Lord Tennyson",The Higher Pantheism,45323,"The sun, the moon, the stars, the seas, the hills and the plains,-
Are not these, O Soul, the Vision of Him who reigns?

Is not the Vision He, tho' He be not that which He seems?
Dreams are true while they last, and do we not live in dreams?

Earth, these solid stars, this weight of body and limb,
Are they not sign and symbol of thy division from Him?

Dark is the world to thee; thyself art the reason why,
For is He not all but thou, that hast power to feel ""I am I""?

Glory about thee, without thee; and thou fulfillest thy doom,
Making Him broken gleams and a stifled splendour and gloom.

Speak to Him, thou, for He hears, and Spirit with Spirit can meet-
Closer is He than breathing, and nearer than hands and feet.

God is law, say the wise; O soul, and let us rejoice,
For if He thunder by law the thunder is yet His voice.

Law is God, say some; no God at all, says the fool,
For all we have power to see is a straight staff bent in a pool;

And the ear of man cannot hear, and the eye of man cannot see;
But if we could see and hear, this Vision-were it not He",222,"broken gleams, straight staff, solid stars, stifled splendour, staff bent, wise, vision, true, spirit, gloom, fool, dreams"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 72,45344,"Risest thou thus, dim dawn, again,
And howlest, issuing out of night,
With blasts that blow the poplar white,
And lash with storm the streaming pane?

Day, when my crowned estate begun
To pine in that reverse of doom,
Which sickened every living bloom,
And blurred the splendour of the sun;

Who usherest in the dolorous hour
With thy quick tears that make the rose
Pull sideways, and the daisy close
Her crimson fringes to the shower;

Who might'st have heaved a windless flame
Up the deep East, or, whispering, played
A chequer-work of beam and shade
Along the hills, yet looked the same.

As wan, as chill, as wild as now;
Day, marked as with some hideous crime,
When the dark hand struck down thro' time,
And cancelled nature's best: but thou,

Lift as thou may'st thy burthened brows
Thro' clouds that drench the morning star,
And whirl the ungarnered sheaf afar,
And sow the sky with flying boughs,

And up thy vault with roaring sound
Climb thy thick noon, disastrous day;
Touch thy dull goal of joyless gray,
And hide thy shame beneath the ground",188,"disastrous day, joyless gray, hideous crime, dolorous hour, dark hand, dull goal, quick tears, windless flame, ungarnered sheaf, thick noon, sheaf afar, pull sideways, living bloom"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 83,45347,"Dip down upon the northern shore
O sweet new-year delaying long;
Thou doest expectant nature wrong;
Delaying long, delay no more.

What stays thee from the clouded noons,
Thy sweetness from its proper place?
Can trouble live with April days,
Or sadness in the summer moons?

Bring orchis, bring the foxglove spire,
The little speed well's darling blue,
Deep tulips dashed with fiery dew,
Laburnums, dropping-wells of fire.

O thou new-year, delaying long,
Delayest the sorrow in my blood,
That longs to burst a frozen bud
And flood a fresher throat with song",94,"fiery dew, clouded noons, proper place, northern shore, new-year delaying, fresher throat, foxglove spire, expectant nature, deep tulips, bring orchis, wrong, trouble"
"Alfred, Lord Tennyson","from
  
  Idylls of the King: Song from The Marriage of Geraint",45326,"Turn, Fortune, turn thy wheel, and lower the proud;
Turn thy wild wheel thro' sunshine, storm, and cloud;
Thy wheel and thee we neither love nor hate.

Turn, Fortune, turn thy wheel with smile or frown;
With that wild wheel we go not up or down;
Our hoard is little, but our hearts are great.

Smile and we smile, the lords of many lands;
Frown and we smile, the lords of our own hands;
For man is man and master of his fate.

Turn, turn thy wheel above the staring crowd;
Thy wheel and thou are shadows in the cloud;
Thy wheel and thee we neither love nor hate",109,"wild wheel, staring crowd, smile, lower, turn, storm, master, lords, lands, hoard"
"Alfred, Lord Tennyson","from
  
  The Princess: Thy Voice is Heard",45386,"Thy voice is heard thro' rolling drums,
That beat to battle where he stands;
Thy face across his fancy comes,
And gives the battle to his hands:
A moment, while the trumpets blow,
He sees his brood about thy knee;
The next, like fire he meets the foe,
And strikes him dead for thine and thee",56,"strikes, fire, dead, battle, voice, trumpets, rolling, knee, hands, fancy, face, drums, brood, beat"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 15,45334,"To-night the winds begin to rise
And roar from yonder dropping day:
The last red leaf is whirled away,
The rooks are blown about the skies;

The forest cracked, the waters curled,
The cattle huddled on the lea;
And wildly dashed on tower and tree
The sunbeam strikes along the world:

And but for fancies, which aver
That all thy motions gently pass
Athwart a plane of molten glass,
I scarce could brook the strain and stir

That makes the barren branches loud;
And but for fear it is not so,
The wild unrest that lives in woe
Would dote and pore on yonder cloud

That rises upward always higher,
And onward drags a labouring breast,
And topples round the dreary west,
A looming bastion fringed with fire",128,"dreary west, looming bastion, wild unrest, molten glass, labouring breast, barren branches, strain, gently, fire, fear, world, winds, wildly, waters"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 124,45355,"That which we dare invoke to bless;
Our dearest faith; our ghastliest doubt;
He, They, One, All; within, without;
The Power in darkness whom we guess;

I found Him not in world or sun,
Or eagle's wing, or insect's eye;
Nor thro' the questions men may try,
The petty cobwebs we have spun:

If ever when faith had fall'n asleep,
I heard a voice, ""Believe no more,""
And heard an ever-breaking shore
That tumbled in the Godless deep,

A warmth within the breast would melt
The freezing reason's colder part,
And like a man in wrath the heart
Stood up and answered, ""I have felt.""

No, like a child in doubt and fear:
But that blind clamour made me wise;
Then was I as a child that cries,
But crying, knows his father near;

And what I am beheld again
What is, and no man understands;
And out of darkness came the hands
That reach thro' nature, moulding men",167,"ghastliest doubt, petty cobwebs, godless deep, ever-breaking shore, wise, warmth, freezing, fear, dearest, darkness, crying, wrath, world, wing"
"Alfred, Lord Tennyson","from
  
  The Princess: Tears, Idle Tears",45384,"Tears, idle tears, I know not what they mean,
Tears from the depth of some divine despair
Rise in the heart, and gather to the eyes,
In looking on the happy Autumn-fields,
And thinking of the days that are no more.

Fresh as the first beam glittering on a sail,
That brings our friends up from the underworld,
Sad as the last which reddens over one
That sinks with all we love below the verge;
So sad, so fresh, the days that are no more.

Ah, sad and strange as in dark summer dawns
The earliest pipe of half-awakened birds
To dying ears, when unto dying eyes
The casement slowly grows a glimmering square;
So sad, so strange, the days that are no more.

Dear as remembered kisses after death,
And sweet as those by hopeless fancy feigned
On lips that are for others; deep as love,
Deep as first love, and wild with all regret;
O Death in Life, the days that are no more",166,"happy autumn-fields, remembered kisses, hopeless fancy, idle tears, divine despair, half-awakened birds, glimmering square, earliest pipe, sweet, strange, regret, friends, fresh, death, dear"
"Alfred, Lord Tennyson","from
  
  The Princess: Sweet and Low",45383,"Sweet and low, sweet and low,
Wind of the western sea,
Low, low, breathe and blow,
Wind of the western sea!
Over the rolling waters go,
Come from the dying moon, and blow,
Blow him again to me;
While my little one, while my pretty one, sleeps.

Sleep and rest, sleep and rest,
Father will come to thee soon;
Rest, rest, on mother's breast,
Father will come to thee soon;
Father will come to his babe in the nest,
Silver sails all out of the west
Under the silver moon:
Sleep, my little one, sleep, my pretty one, sleep",100,"western sea, silver sails, rolling waters, sweet, pretty, wind, west, sleep, rest, nest, mother"
"Alfred, Lord Tennyson","from
  
  The Princess: Our Enemies Have Fall'n",45382,"Our enemies have fall'n, have fall'n: the seed,
The little seed they laughed at in the dark,
Has risen and cleft the soil, and grown a bulk
Of spanless girth, that lays on every side
A thousand arms and rushes to the Sun.

Our enemies have fall'n, have fall'n: they came;
The leaves were wet with women's tears: they heard
A noise of songs they would not understand:
They marked it with the red cross to the fall,
And would have strown it, and are fall'n themselves.

Our enemies have fall'n, have fall'n: they came,
The woodmen with their axes: lo the tree!
But we will make it faggots for the hearth,
And shape it plank and beam for roof and floor,
And boats and bridges for the use of men.

Our enemies have fall'n, have fall'n: they struck;
With their own blows they hurt themselves, nor knew
There dwelt an iron nature in the grain:
The glittering axe was broken in their arms,
Their arms were shattered to the shoulder blade.

Our enemies have fall'n, but this shall grow
A night of Summer from the heat, a breadth
Of Autumn, dropping fruits of power; and rolled
With music in the growing breeze of Time,
The tops shall strike from star to star, the fangs
Shall move the stony bases of the world",234,"glittering axe, stony bases, spanless girth, shoulder blade, iron nature, tops, tears"
"Alfred, Lord Tennyson","from
  
  The Princess: O Swallow",45381,"O Swallow, Swallow, flying, flying South,
Fly to her, and fall upon her gilded eaves,
And tell her, tell her, what I tell to thee.

O tell her, Swallow, thou that knowest each,
That bright and fierce and fickle is the South,
And dark and true and tender is the North.

O Swallow, Swallow, if I could follow, and light
Upon her lattice, I would pipe and trill,
And cheep and twitter twenty million loves.

O were I thou that she might take me in,
And lay me on her bosom, and her heart
Would rock the snowy cradle till I died.

Why lingereth she to clothe her heart with love,
Delaying as the tender ash delays
To clothe herself, when all the woods are green?

O tell her, Swallow, that thy brood is flown:
Say to her, I do but wanton in the South,
But in the North long since my nest is made.

O tell her, brief is life but love is long,
And brief the sun of summer in the North,
And brief the moon of beauty in the South.

O Swallow, flying from the golden woods,
Fly to her, and pipe and woo her, and make her mine,
And tell her, tell her, that I follow thee",211,"tender ash, snowy cradle, gilded eaves, true, loves, bright, beauty, woods, twitter, swallow, south, pipe, north, nest, mine"
"Alfred, Lord Tennyson","from
  
  The Princess: Now Sleeps the Crimson Petal",45380,"Now sleeps the crimson petal, now the white;
Nor waves the cypress in the palace walk;
Nor winks the gold fin in the porphyry font.
The firefly wakens; waken thou with me.

Now droops the milk-white peacock like a ghost,
And like a ghost she glimmers on to me.

Now lies the Earth all Danaë to the stars,
And all thy heart lies open unto me.

Now slides the silent meteor on, and leaves
A shining furrow, as thy thoughts in me.

Now folds the lily all her sweetness up,
And slips into the bosom of the lake.
So fold thyself, my dearest, thou, and slip
Into my bosom and be lost in me",114,"silent meteor, shining furrow, porphyry font, palace walk, milk-white peacock, gold fin, fold thyself"
"Alfred, Lord Tennyson","from
  
  The Princess: Home they Brought her Warrior Dead",45379,"Home they brought her warrior dead:
She nor swooned nor uttered cry:
All her maidens, watching, said,
""She must weep or she will die.""

Then they praised him, soft and low,
Called him worthy to be loved,
Truest friend and noblest foe;
Yet she neither spoke nor moved.

Stole a maiden from her place,
Lightly to the warrior stepped,
Took the face-cloth from the face;
Yet she neither moved nor wept.

Rose a nurse of ninety years,
Set his child upon her knee-
Like summer tempest came her tears-
""Sweet my child, I live for thee",99,"truest friend, uttered cry, noblest foe, wept, tears, sweet, dead, years"
